track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
3OG2Pi27rxlMovZT7Ihloy,"Lata Mangeshkar, Mohammed Rafi",The Golden Collection - Duets Of Lata Mangeshkar & Mohd. Rafi,Tujhe Jeevan Ki Dor Se,0,201240,False,0.405,0.538,2,-8.09,1,0.0469,0.905,0.0,0.383,0.856,162.926,3,"lata, filmi, classic bollywood"
6hjfYupT8AyQFRFNfWQlwh,Jagjit Singh,Close To My Heart - Jagjit Singh,Kahin Door Jab Din Dhal Jaye (Anand '70),0,399880,False,0.523,0.239,1,-18.169,1,0.0625,0.62,0.232,0.126,0.26,164.322,4,"filmi, hare krishna, classic bollywood, ghazal, sufi"
5Ggb9pKiKcr5vNV9v1e1vs,"Sachin-Jigar, Varun Jain, Shilpa Rao, Amitabh Bhattacharya","Tumhare Hi Rahenge Hum (From ""Stree 2"")","Tumhare Hi Rahenge Hum (From ""Stree 2"")",74,230086,False,0.674,0.516,4,-8.494,1,0.0285,0.735,9.82e-06,0.0968,0.602,115.005,4,"filmi, desi pop, gujarati pop, modern bollywood"
6HegkXjJEYvZhwGUoKi7Z7,Mohit Chauhan,Heropanti (Original Motion Picture Soundtrack),Tabah,0,319583,False,0.588,0.87,9,-4.535,0,0.0418,0.0153,1.18e-05,0.185,0.324,111.988,4,"filmi, modern bollywood"
5PUqPIQTkwHipSIfNZq4SM,Mohammed Rafi,Aya Sawan Jhoom Ke (Original Motion Picture Soundtrack),Majhi Chal O Majhi Chal,4,249589,False,0.361,0.591,0,-10.077,1,0.0464,0.957,0.142,0.359,0.359,65.891,3,"filmi, classic bollywood"
3m6X7jD1JtU2qYvf5LyzcH,"Rakhi Chand, Sunidhi Chauhan, Ujjaini Mukherjee",Tanu Weds Manu (Original Motion Picture Soundtrack),Mannu Bhaiya,0,289803,False,0.754,0.688,4,-6.671,1,0.131,0.316,0.0,0.193,0.793,102.0,4,"filmi, rabindra sangeet, modern bollywood"
2SN54RFfaafTk7TE1n1Na4,"QARAN, Badshah",Veere Di Wedding (Original Motion Picture Soundtrack),Tareefan,63,186122,False,0.829,0.655,5,-6.26,0,0.0681,0.0942,5.14e-06,0.2,0.335,98.012,4,"desi pop, filmi, desi hip hop, desi trap, modern bollywood"
3tGM7DVYrcqt2p294WnJ4v,Lata Mangeshkar,"Solid Gold, Vol. 2","Tujhse Naraz Nahin Zindagi - From ""Masoom""",0,235360,False,0.644,0.287,9,-11.167,1,0.0377,0.889,0.00686,0.141,0.77,98.978,4,"lata, filmi, classic bollywood"
3vqJY3pVELLIxqXXyI08yr,"A.R. Rahman, Naresh Iyer",Rang De Basanti (Original Motion Picture Soundtrack),Roobaroo,55,282973,False,0.675,0.582,9,-8.891,1,0.0277,0.661,5.56e-06,0.0854,0.538,120.991,4,filmi
444XEZzpTu40p0HF6qM7Et,"Kishore Kumar, Lata Mangeshkar",Himmatwala (Original Motion Picture Soundtrack),Nainon Men Sapna,23,391800,False,0.479,0.577,10,-9.949,1,0.209,0.809,5.9e-06,0.149,0.904,129.335,4,"lata, filmi, classic bollywood"
09e9vNgSdOspJasGIp6kLp,Shaan,Munnabhai MBBS (Original Motion Picture Soundtrack),"Subha Ho Gayi Mamu - From ""Munnabhai MBBS""",36,241400,False,0.871,0.362,11,-14.1,0,0.0545,0.12,1.08e-06,0.305,0.456,104.002,4,"filmi, modern bollywood"
3OGaepo31Q3d427kHHpdx6,"Lata Mangeshkar, Salil Chowdhury",Rajnigandha,Rajnigandha Phool Tumhare,44,204613,False,0.631,0.27,10,-8.646,0,0.0455,0.988,0.000259,0.175,0.264,98.288,4,"lata, filmi, classic bollywood"
5NdVbWjNxxzv3SMxtINLu2,"Vishal Mishra, Asees Kaur","Nai Lagda (From ""Notebook"")","Nai Lagda (From ""Notebook"")",62,287106,False,0.514,0.548,2,-7.145,1,0.0381,0.669,0.0,0.0849,0.383,153.794,4,"filmi, desi pop, modern bollywood"
